playerid,Name,Team,W,L,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,WHIP,FIP,xFIP,WAR
15423,Andrew Heaney,Angels,9,10,30,30,180,9,2.25,1.35,0.294,71.4 %,41.2 %,15.2 %,4.15,1.2,3.99,3.68,2.7
14272,Brian Johnson,Red Sox,4,3,13,13,60.2,7.86,3.41,1.78,0.296,80.3 %,36.0 %,14.1 %,4.15,1.45,5.17,4.91,0.1
16137,Carlos Rodon,White Sox,6,8,20,20,120.2,6.71,4.1,1.12,0.242,72.0 %,41.5 %,9.9 %,4.18,1.26,4.95,5.4,0.8
10021,Mike Minor,Rangers,12,8,28,28,157,7.57,2.18,1.43,0.259,72.5 %,34.4 %,12.1 %,4.18,1.12,4.43,4.53,2.5
14875,Caleb Smith,Marlins,5,6,16,16,77.1,10.24,3.84,1.16,0.276,74.1 %,28.4 %,10.0 %,4.19,1.24,3.96,4.42,1.2
1994,Ivan Nova,Pirates,9,9,29,29,161,6.37,1.96,1.45,0.288,73.7 %,45.6 %,14.8 %,4.19,1.28,4.57,4.28,1.2
14374,Tyler Glasnow,Rays,1,5,11,11,55.2,10.35,3.07,1.62,0.248,74.0 %,43.9 %,20.8 %,4.2,1.1,4.38,3.47,0.6
7448,Gio Gonzalez,- - -,10,11,32,32,171,7.79,4.21,0.89,0.301,73.3 %,45.3 %,10.4 %,4.21,1.44,4.16,4.44,2.1
8753,Tanner Roark,Nationals,9,14,30,30,180,7.3,2.5,1.15,0.295,73.0 %,40.8 %,11.3 %,4.25,1.27,4.2,4.41,2.2
19427,Shane Bieber,Indians,11,4,19,19,110,9.57,1.72,0.9,0.356,70.2 %,45.3 %,10.6 %,4.25,1.3,2.96,3.22,2.9
6499,Blaine Hardy,Tigers,4,4,13,13,67.2,6.25,2.13,1.2,0.278,68.6 %,43.1 %,10.5 %,4.26,1.21,4.3,4.67,0.9
16561,Austin Gomber,Cardinals,5,2,11,11,57,8.37,3.47,0.79,0.341,74.1 %,40.5 %,8.3 %,4.26,1.51,3.7,4.3,1
5702,Junior Guerra,Brewers,6,9,26,26,135,8.53,3.67,1.27,0.314,72.5 %,42.4 %,13.1 %,4.27,1.44,4.41,4.35,1.4
2717,Rick Porcello,Red Sox,17,7,33,33,191.1,8.94,2.26,1.27,0.285,70.9 %,44.1 %,13.8 %,4.28,1.18,4.01,3.87,2.4
15689,Luis Castillo,Reds,10,12,31,31,169.2,8.75,2.6,1.49,0.282,71.2 %,45.9 %,17.9 %,4.3,1.22,4.32,3.69,2.1
6345,Chris Archer,- - -,6,8,27,27,148.1,9.83,2.97,1.15,0.338,72.5 %,44.6 %,14.1 %,4.31,1.38,3.75,3.59,2.6
19316,Eric Lauer,Padres,6,7,23,23,112,8.04,3.7,1.21,0.332,74.7 %,37.6 %,12.7 %,4.34,1.54,4.51,4.51,0.8
13774,Zach Eflin,Phillies,11,8,24,24,128,8.65,2.6,1.13,0.309,68.4 %,41.2 %,11.2 %,4.36,1.3,3.8,4.02,2.2
10130,Mike Leake,Mariners,10,10,31,31,185.2,5.77,1.65,1.11,0.306,69.4 %,48.7 %,12.6 %,4.36,1.3,4.14,4.15,2.3
13619,Jakob Junis,Royals,9,12,30,30,177,8.34,2.19,1.63,0.298,74.8 %,42.0 %,16.2 %,4.37,1.27,4.64,4.13,1.4
7872,Tyson Ross,- - -,7,9,23,23,129.1,7.72,3.76,1.11,0.274,71.8 %,45.0 %,15.2 %,4.38,1.31,4.47,4.2,0.9
15440,Matthew Boyd,Tigers,9,13,31,31,170.1,8.4,2.69,1.43,0.258,71.1 %,29.0 %,11.2 %,4.39,1.16,4.45,4.72,2.1
18679,Freddy Peralta,Brewers,6,4,14,14,73.2,11.12,4.76,0.98,0.236,68.1 %,30.9 %,9.4 %,4.4,1.15,3.85,4.35,1.1
19309,Trevor Richards,Marlins,4,9,25,25,126.1,9.26,3.85,1.07,0.309,72.3 %,35.8 %,10.9 %,4.42,1.39,4.05,4.3,1.3
8223,Brett Anderson,Athletics,4,5,17,17,80.1,5.27,1.46,1.12,0.307,69.2 %,55.6 %,15.2 %,4.48,1.28,4.17,3.91,0.9
18300,Andrew Suarez,Giants,7,13,29,29,160.1,7.3,2.53,1.29,0.302,70.5 %,51.3 %,17.8 %,4.49,1.3,4.3,3.77,1
6397,Jake Odorizzi,Twins,7,10,32,32,164.1,8.87,3.83,1.1,0.29,69.7 %,28.4 %,8.9 %,4.49,1.34,4.2,4.87,2.7
7059,James Shields,White Sox,7,15,33,33,204,6.79,3.35,1.5,0.26,70.5 %,35.4 %,12.8 %,4.5,1.29,5.07,5.05,1.2
9425,Doug Fister,Rangers,1,7,12,12,66,5.45,2.59,1.5,0.291,70.2 %,50.4 %,18.6 %,4.5,1.39,5.25,4.56,0.4
16980,Daniel Mengden,Athletics,6,6,17,17,96,5.63,1.88,1.59,0.247,67.3 %,39.4 %,14.7 %,4.5,1.16,4.9,4.59,0.5
4505,Jordan Zimmermann,Tigers,7,8,25,25,131.1,7.61,1.78,1.92,0.288,71.4 %,35.0 %,15.7 %,4.52,1.26,4.88,4.35,0.9
12880,Tyler Anderson,Rockies,7,9,32,32,176,8.39,3.02,1.53,0.281,71.9 %,36.7 %,15.2 %,4.55,1.27,4.57,4.21,1.9
14975,Chad Kuhl,Pirates,5,5,16,16,85,8.58,3.49,1.48,0.311,74.3 %,36.2 %,15.4 %,4.55,1.44,4.7,4.33,0.5
17466,Heath Fillmyer,Royals,4,2,13,13,71,6.34,3.42,1.14,0.292,70.9 %,45.5 %,13.2 %,4.56,1.38,4.63,4.56,0.6
13942,Brent Suter,Brewers,7,7,18,18,94.2,7.42,1.71,1.52,0.284,67.7 %,33.3 %,14.7 %,4.56,1.2,4.38,4.08,1.1
11479,Bryan Mitchell,Padres,2,4,11,11,56.2,4.92,5.4,1.27,0.289,78.8 %,50.8 %,16.7 %,4.61,1.66,5.76,5.32,-0.2
3201,Francisco Liriano,Tigers,5,12,26,26,131.2,7.45,4.92,1.3,0.284,67.3 %,48.3 %,16.4 %,4.65,1.5,5.14,4.71,0.4
16918,Luke Weaver,Cardinals,6,11,25,25,129.1,8.07,3.41,1.11,0.315,70.8 %,42.2 %,11.4 %,4.66,1.44,4.18,4.36,1.6
6986,Ian Kennedy,Royals,3,9,22,22,119.2,7.9,3.01,1.5,0.298,72.5 %,29.9 %,12.5 %,4.66,1.38,4.61,4.64,1
13420,Matt Koch,Diamondbacks,5,5,14,14,77,4.56,2.57,2.22,0.264,80.3 %,43.1 %,21.8 %,4.68,1.35,6.45,5.11,-1
15885,Fernando Romero,Twins,3,3,11,11,55.2,7.28,3.07,0.97,0.318,70.9 %,46.2 %,11.1 %,4.69,1.42,4.35,4.55,0.7
13218,Michael Fulmer,Tigers,3,12,24,24,132.1,7.48,3.13,1.29,0.288,68.2 %,44.2 %,14.5 %,4.69,1.31,4.52,4.29,1.4
13761,Chris Stratton,Giants,10,10,26,26,141.2,6.92,3.24,1.08,0.301,68.3 %,42.7 %,12.2 %,4.7,1.38,4.3,4.37,0.9
11713,Matt Harvey,- - -,7,9,28,28,149,7.73,1.93,1.51,0.3,72.1 %,43.0 %,14.8 %,4.71,1.28,4.39,4.08,1.8
13677,Corey Oswalt,Mets,2,3,12,12,55.1,6.34,2.77,1.95,0.265,77.7 %,42.8 %,18.2 %,4.72,1.32,5.66,4.81,-0.2
12385,Nick Tropeano,Angels,5,6,14,14,76,7.58,3.67,1.89,0.256,76.3 %,37.0 %,18.0 %,4.74,1.3,5.52,4.71,-0.1
14862,Zack Godley,Diamondbacks,15,11,32,32,177.1,9.29,4.06,0.81,0.323,67.2 %,49.0 %,11.4 %,4.77,1.44,3.83,3.96,2.4
13183,Zach Davies,Brewers,2,7,13,13,66,6.68,2.86,1.09,0.298,69.3 %,47.5 %,13.1 %,4.77,1.33,4.39,4.34,0.5
13071,Wei-Yin Chen,Marlins,6,12,26,26,133.1,7.49,3.17,1.28,0.284,68.2 %,37.0 %,10.9 %,4.79,1.34,4.43,4.73,1.1
15454,Nick Pivetta,Phillies,6,14,32,32,163,10.33,2.76,1.33,0.328,68.9 %,46.7 %,15.9 %,4.8,1.31,3.79,3.41,2.8
16130,David Hess,Orioles,3,10,19,19,100.1,6.28,3.23,1.88,0.27,72.3 %,35.0 %,14.0 %,4.84,1.4,5.77,5.52,0
3542,Danny Duffy,Royals,8,12,28,28,155,8.19,4.06,1.34,0.304,73.5 %,35.4 %,11.4 %,4.88,1.49,4.7,4.92,1.2
11189,Vince Velasquez,Phillies,8,12,30,30,145.2,9.89,3.58,0.99,0.316,66.5 %,37.8 %,10.2 %,4.88,1.34,3.75,4.1,2.6
11490,Aaron Sanchez,Blue Jays,4,6,20,20,105,7.37,4.97,0.94,0.304,70.1 %,49.1 %,10.8 %,4.89,1.56,4.74,4.98,0.6
6562,Alex Cobb,Orioles,5,15,28,28,152.1,6.03,2.54,1.42,0.303,68.0 %,49.5 %,15.1 %,4.9,1.41,4.8,4.47,1.4
4662,Brandon McCarthy,Braves,6,3,15,15,78.2,7.44,2.4,1.72,0.332,74.5 %,48.0 %,21.7 %,4.92,1.46,4.79,3.76,0.2
13050,Anthony DeSclafani,Reds,7,8,21,21,115,8.45,2.35,1.88,0.294,70.5 %,41.5 %,19.8 %,4.93,1.29,4.83,3.86,0.8
2520,Lance Lynn,- - -,9,10,29,29,149.1,9.16,4.52,0.84,0.335,69.5 %,50.0 %,12.2 %,4.94,1.55,3.97,4.02,2.6
16358,Tyler Mahle,Reds,7,9,23,23,112,8.84,4.26,1.77,0.323,75.2 %,38.7 %,18.5 %,4.98,1.59,5.25,4.45,0.3
14916,Jon Gray,Rockies,12,9,31,31,172.1,9.56,2.72,1.41,0.322,67.9 %,47.5 %,18.1 %,5.12,1.35,4.08,3.47,2.5
14361,Ty Blach,Giants,3,6,13,13,64.2,4.87,3.48,0.7,0.33,65.0 %,56.7 %,10.4 %,5.15,1.59,4.29,4.51,0.4
4338,Tyler Chatwood,Cubs,4,6,20,20,96,7.69,8.25,0.84,0.284,73.8 %,54.2 %,12.3 %,5.16,1.79,5.61,5.65,-0.3
12768,Sonny Gray,Yankees,9,9,23,23,113,8.6,3.98,1.04,0.323,68.4 %,48.7 %,13.4 %,5.26,1.5,4.26,4.18,1.5
10587,Chad Bettis,Rockies,5,2,20,20,109,6.28,3.72,1.4,0.28,69.3 %,48.5 %,15.9 %,5.28,1.41,5.14,4.74,0.3
8782,Andrew Cashner,Orioles,4,15,28,28,153,5.82,3.82,1.47,0.311,70.5 %,40.4 %,13.6 %,5.29,1.58,5.32,5.19,0.6
15846,Adam Plutko,Indians,4,5,12,12,68,7.01,2.65,2.25,0.255,74.8 %,26.7 %,14.0 %,5.29,1.28,5.78,5.47,-0.1
16155,Eric Skoglund,Royals,1,6,13,13,68,6.35,2.38,1.59,0.259,66.0 %,41.2 %,14.1 %,5.29,1.21,5.1,4.87,0.2
11694,Nick Kingham,Pirates,5,7,15,15,71,8.24,3.04,2.15,0.281,70.2 %,39.7 %,19.8 %,5.32,1.41,5.67,4.56,-0.3
3551,Clayton Richard,Padres,7,11,27,27,158.2,6.13,3.4,1.08,0.289,64.7 %,56.8 %,17.8 %,5.33,1.38,4.68,4.24,0.6
12778,Sam Gaviglio,Blue Jays,2,10,24,24,119.1,7.47,2.79,1.58,0.316,68.6 %,49.3 %,17.4 %,5.43,1.47,4.8,4.18,0.5
12917,Dylan Bundy,Orioles,8,16,31,31,171.2,9.65,2.83,2.15,0.316,69.3 %,34.0 %,17.8 %,5.45,1.41,5.17,4.28,0.9
13690,Sal Romano,Reds,7,10,25,25,131.1,6.44,3.36,1.51,0.287,67.8 %,45.0 %,15.4 %,5.48,1.45,5.1,4.72,0.6
14825,Dylan Covey,White Sox,4,12,21,21,109.2,6.89,3.94,0.98,0.308,59.8 %,55.0 %,13.6 %,5.5,1.52,4.42,4.32,1.1
13431,Marcus Stroman,Blue Jays,4,9,19,19,102.1,6.77,3.17,0.79,0.326,60.5 %,62.1 %,13.6 %,5.54,1.48,3.91,3.84,1.4
17425,Erick Fedde,Nationals,2,4,11,11,50.1,8.23,3.93,1.43,0.333,69.9 %,53.1 %,22.2 %,5.54,1.53,4.71,3.83,0.2
13699,Jake Faria,Rays,3,4,12,12,53.1,6.92,4.22,1.52,0.258,67.8 %,33.1 %,12.9 %,5.57,1.37,5.39,5.37,0
1118,Marco Estrada,Blue Jays,7,14,28,28,143.2,6.45,3.13,1.82,0.284,69.7 %,24.0 %,11.2 %,5.64,1.43,5.44,5.79,0.3
4772,Felix Hernandez,Mariners,8,13,28,28,150,7.38,3.42,1.56,0.288,63.2 %,46.5 %,16.6 %,5.64,1.41,5.15,4.63,0.3
375,Bartolo Colon,Rangers,7,12,24,24,139.1,4.84,1.61,1.94,0.283,66.9 %,41.8 %,17.2 %,5.68,1.34,5.49,4.75,0.5
8173,Yovani Gallardo,Rangers,8,8,18,18,92,5.48,4.21,1.27,0.298,66.8 %,44.7 %,13.3 %,5.77,1.54,5.25,5.17,0.6
8044,Jason Vargas,Mets,7,9,20,20,92,8.22,2.93,1.76,0.307,68.3 %,39.4 %,16.7 %,5.77,1.41,5.02,4.42,0.2
8362,Homer Bailey,Reds,1,14,20,20,106.1,6.35,2.79,1.95,0.327,65.4 %,42.6 %,18.7 %,6.09,1.64,5.55,4.65,-0.1
15474,Lucas Giolito,White Sox,10,13,32,32,173.1,6.49,4.67,1.4,0.268,63.5 %,44.4 %,13.4 %,6.13,1.48,5.56,5.46,-0.1
4538,Jason Hammel,Royals,2,11,18,18,102.1,5.8,2.73,1.23,0.337,62.0 %,37.3 %,9.5 %,6.16,1.61,4.65,5.24,0.8
17149,Domingo German,Yankees,2,5,14,14,68.1,10.4,3.42,1.71,0.296,60.9 %,39.6 %,16.5 %,6.19,1.35,4.68,4.12,0.6
10354,Robbie Erlin,Padres,3,6,12,12,56.1,7.03,1.28,1.28,0.349,53.7 %,40.5 %,13.1 %,6.23,1.46,3.87,3.81,0.9
11426,Drew Pomeranz,Red Sox,1,5,11,11,51.1,7.71,5.61,1.75,0.336,71.6 %,38.5 %,15.6 %,6.31,1.81,5.97,5.49,-0.4
8137,Jaime Garcia,- - -,2,7,14,14,61.2,8.32,4.96,1.75,0.317,65.0 %,42.3 %,16.2 %,6.57,1.67,5.64,5.09,-0.2
6902,Martin Perez,Rangers,2,7,15,15,74.1,5.45,3.75,1.82,0.358,64.7 %,49.4 %,19.0 %,6.78,1.86,5.91,5.04,-0.1
15655,Yefry Ramirez,Orioles,1,8,12,12,53.1,8.94,5.4,1.86,0.304,65.3 %,32.1 %,14.7 %,6.92,1.65,5.88,5.52,0
1890,Matt Moore,Rangers,1,5,12,12,55,6.71,4.25,1.31,0.395,59.6 %,38.0 %,9.2 %,8.02,2.05,5.2,5.92,0.4
